Symbol,Name,Last_Sale,Net_Change,Percent_Change,Market_Cap,Volume,Sector,Industry
ENSG,The Ensign Group Inc. Common Stock,$144.11 ,-3.32,-2.25%,8230655739,1439286,Health Care,Hospital/Nursing Management
CHKEL,Chesapeake Energy Corporation Class C Warrants,$62.50 ,-0.19,-0.30%,8204697000,1799,Energy,Oil & Gas Production
VNOM,Viper Energy Inc. Class A Common Stock,$44.86 ,0.86,1.96%,8204625558,3459595,Energy,Oil & Gas Production
FLR,Fluor Corporation Common Stock,$47.89 ,0.55,1.16%,8202985002,1028549,Industrials,Military/Government/Technical
LNW,Light & Wonder Inc. Common Stock,$92.38 ,-0.72,-0.77%,8196338917,884821,Technology,EDP Services
ASND,Ascendis Pharma A/S American Depositary Shares,$144.62 ,-2.74,-1.86%,8187572359,516852,Health Care,Biotechnology: Pharmaceutical Preparations
RGEN,Repligen Corporation Common Stock,$145.93 ,-1.25,-0.85%,8173028253,707416,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MLI,Mueller Industries Inc. Common Stock,$72.10 ,0.5,0.70%,8170671071,651985,Industrials,Metal Fabrications
AXTA,Axalta Coating Systems Ltd. Common Shares,$37.25 ,-0.15,-0.40%,8169108419,2178205,Consumer Discretionary,Paints/Coatings
ONBPO,Old National Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series C Preferred Stock,$25.55 ,-0.0045,-0.02%,8148248135,1523,Finance,Major Banks
COLD,Americold Realty Trust Inc. Common Stock,$28.60 ,-0.03,-0.11%,8126849045,1406613,Real Estate,Real Estate Investment Trusts
FSV,FirstService Corporation Common Shares,$180.36 ,-0.91,-0.50%,8119137884,249427,Finance,Real Estate
ONBPP,Old National Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series A Preferred Stock,$25.44 ,-0.3966,-1.54%,8115681298,508,Finance,Major Banks
SUN,Sunoco LP Common Units representing limited partner interests,$53.13 ,0.04,0.08%,8097476462,261388,Energy,Integrated oil Companies
CHRD,Chord Energy Corporation Common Stock,$130.80 ,3.39,2.66%,8093848410,888554,Energy,Oil & Gas Production
FCN,FTI Consulting Inc. Common Stock,$225.30 ,-2.07,-0.91%,8088772870,114016,Consumer Discretionary,Professional Services
GAP,Gap Inc. (The) Common Stock,$21.42 ,0.37,1.76%,8060708255,4974170,Consumer Discretionary,Clothing/Shoe/Accessory Stores
SSD,Simpson Manufacturing Company Inc. Common Stock,$191.18 ,1.58,0.83%,8060672251,141965,Consumer Discretionary,Industrial Machinery/Components
ALTR,Altair Engineering Inc. Class A Common Stock,$94.87 ,-0.19,-0.20%,8053152940,234864,Technology,Computer Software: Prepackaged Software
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,$111.52 ,-1.74,-1.54%,8050763516,328161,Technology,Semiconductors
BFAM,Bright Horizons Family Solutions Inc. Common Stock,$138.68 ,-1.1,-0.79%,8049424735,255685,Consumer Discretionary,Other Consumer Services
